structure_id,set_id,group,theme,terrain_adaptation,structure_type,source
mns:medium_crimson_fungus_2,mns:medium_crimson_fungus,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_crimson_well,mns:medium_crimson_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_warped_fungus,mns:medium_warped_fungus,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_warped_fungus_2,mns:medium_warped_fungus,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:medium_warped_well,mns:medium_warped_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:ruined_portal,mns:ruined_portal,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:sandy_skull,mns:sandy_skull,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:small_nether_brick,mns:small_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:soul_fire,mns:soul_fire,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_blackstone,mns:very_small_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_blackstone_2,mns:very_small_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_blackstone_3,mns:very_small_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_blackstone_4,mns:very_small_blackstone,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_nether_brick,mns:very_small_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_nether_brick_2,mns:very_small_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:very_small_nether_brick_3,mns:very_small_nether_brick,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:warped_dome,mns:warped_dome,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mns:warped_pool,mns:warped_pool,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsNetherStructures-1.21-3.0.0.jar
mss:birch_river,mss:birch_river,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:cherry_river,mss:cherry_river,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:desert_well,mss:desert_well,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:frozen_pond,mss:frozen_pond,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:jungle,mss:jungle,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:leaf_hollow,mss:leaf_hollow,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:mangrove,mss:mangrove,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:muddy_water_hole,mss:muddy_water_hole,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:mushroom,mss:mushroom,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:palm_island,mss:palm_island,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:red_sand,mss:red_sand,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:small_pond,mss:small_pond,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:taiga,mss:taiga,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_1,mss:tree_1,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_2,mss:tree_2,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_3,mss:tree_3,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_4,mss:tree_4,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_5,mss:tree_5,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_6,mss:tree_6,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_7,mss:tree_7,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mss:tree_8,mss:tree_8,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsSoaringStructures-1.21-2.1.2.jar
mvs:acacia_log_pile,mvs:acacia_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:acacia_tree,mvs:acacia_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:acacia_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:bench,mvs:bench,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:big_oak_tree,mvs:big_oak_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:birch_log_pile,mvs:birch_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:birch_tree,mvs:birch_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:birch_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:boulder,mvs:boulder,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:cart,mvs:cart,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:cherry_tree,mvs:cherry_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dark_oak_log_pile,mvs:dark_oak_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dark_oak_tree,mvs:dark_oak_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dark_oak_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_acacia,mvs:dead_tree_acacia,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_birch,mvs:dead_tree_birch,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_cherry,mvs:dead_tree_cherry,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_dark_oak,mvs:dead_tree_dark_oak,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_jungle,mvs:dead_tree_jungle,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_mangrove,mvs:dead_tree_mangrove,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:dead_tree_oak,mvs:dead_tree_oak,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:desert_pump,mvs:desert_pump,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:floating_islands,mvs:floating_islands,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:flower_hole,mvs:flower_hole,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:haystack,mvs:haystack,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:jungle_log_pile,mvs:jungle_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:jungle_palm_tree,mvs:jungle_palm_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:jungle_tree,mvs:jungle_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:jungle_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:large_cart_1,mvs:large_cart_1,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:large_cart_2,mvs:large_cart_2,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:large_floating_island,mvs:large_floating_island,deco,deco,none,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:large_mushroom,mvs:large_mushroom,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:log_ruin,mvs:log_ruin,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:medium_bamboo_cart,mvs:medium_bamboo_cart,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:medium_oak_lantern,mvs:medium_oak_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:mushroom_pond,mvs:mushroom_pond,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:mushroom_well,mvs:mushroom_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:nether_well,mvs:nether_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_nether_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:oak_log_pile,mvs:oak_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:oak_tree,mvs:oak_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:oak_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:paths,mvs:paths,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:pile,mvs:pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:railway,mvs:railway,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:rare_well,mvs:rare_well,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:rocky_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_acacia_lantern,mvs:small_acacia_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_bamboo_lantern,mvs:small_bamboo_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_birch_lantern,mvs:small_birch_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_campfire_lantern,mvs:small_campfire_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_cherry_lantern,mvs:small_cherry_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_copper_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_dark_oak_lantern,mvs:small_dark_oak_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_jungle_lantern,mvs:small_jungle_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_mangrove_lantern,mvs:small_mangrove_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_oak_lantern,mvs:small_oak_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_oak_pond,mvs:small_oak_pond,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_ruin,mvs:small_ruin,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_spruce_lantern,mvs:small_spruce_lantern,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:small_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:snowy_fossil,mvs:snowy_fossil,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:spruce_log_pile,mvs:spruce_log_pile,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:spruce_tree,mvs:spruce_tree,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:spruce_well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:stone_pillars,mvs:stone_pillars,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:stone_rock,mvs:stone_rock,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:well,mvs:other_wells,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
mvs:wheat_grain_bin,mvs:wheat_grain_bin,deco,deco,beard_thin,moogs_structures:moogs_structures_generic_jigsaw_structure,MoogsVoyagerStructures-1.21-5.0.14.jar
nullscape:dragon_skeleton,nullscape:dragon_skeleton,deco,deco,none,minecraft:jigsaw,Nullscape_1.21.x_v1.2.14.jar
nullscape:rift,nullscape:rift,deco,deco,none,minecraft:jigsaw,Nullscape_1.21.x_v1.2.14.jar
philipsruins:ancient_ruins,philipsruins:ancient_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:desert_structures,philipsruins:desert_structures,deco,deco,bury,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:end_gate_fortress,philipsruins:end_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:end_ruins,philipsruins:end_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:field_stone_ruins,philipsruins:field_stone_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:field_stone_ruins_rocks,philipsruins:field_stone_ruins_rocks,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:level_one_ruins,philipsruins:level_one_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:level_three_ruins,philipsruins:level_three_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:level_two_ruins,philipsruins:level_two_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:level_two_ruins_pool,philipsruins:level_two_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:pumpkin_ruins,philipsruins:pumpkin_ruins,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
philipsruins:rare_ruin,philipsruins:rare_ruin,deco,deco,beard_thin,minecraft:jigsaw,Philips-Ruins1.21.1-1.9-Fabric.jar
structory:abandoned_camp,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:abandoned_chapel,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:boat,structory:outcast_villager,deco,deco,none,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:dense_forest_ruin,structory:old_manor,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:firetower,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:graveyard,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:jungle_ruin,structory:ruin,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:northern_ruin,structory:mid_rare_ruin,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:old_manor,structory:old_manor,deco,deco,beard_box,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:outcast_villager_desert,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:outcast_villager_grassy,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:ruin_grassy,structory:outcast_villager,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:swamp_ruin,structory:ruin_quiet,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:taiga_ruin_surface,structory:mid_rare_ruin,deco,deco,beard_thin,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
structory:taiga_ruin_underground,structory:mid_rare_ruin,deco,deco,bury,minecraft:jigsaw,Structory_26.2_v1.3.7.jar
terralith:rubble_desert,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
terralith:rubble_forest,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
terralith:rubble_jungle,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
terralith:rubble_mesa,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
terralith:rubble_mountain,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
terralith:rubble_taiga,terralith:rubble,deco,deco,beard_thin,minecraft:jigsaw,Terralith_1.21.x_v2.6.2.jar
bettermineshafts:mineshaft_acacia,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_desert,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_dripstone,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_ice,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_jungle,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_lush,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
bettermineshafts:mineshaft_mesa,bettermineshafts:mineshafts,deco,deco,none,bettermineshafts:mineshaft,YungsBetterMineshafts-1.21.1-Fabric-5.1.1.jar
