# stackVersion=0.0.0-local kind=tb-probe generatedAt=2026-08-06T18:34:10.049863636Z
# dimension=adventure:the_dustbowl seed=9193281158218823422 quartY=16 radius=768 step=64
x,z,uniqueness,biome
-192,-768,2,minecraft:deep_lukewarm_ocean
-192,-704,2,minecraft:deep_lukewarm_ocean
-192,-640,0,minecraft:badlands
-192,-576,0,minecraft:badlands
-192,-512,0,minecraft:badlands
-192,-448,0,terralith:hot_shrubland
-192,-384,0,terralith:hot_shrubland
-192,-320,0,terralith:hot_shrubland
-192,-256,4,minecraft:deep_lukewarm_ocean
-192,-192,4,minecraft:lukewarm_ocean
-192,-128,4,minecraft:lukewarm_ocean
-192,-64,4,minecraft:lukewarm_ocean
-192,0,4,minecraft:lukewarm_ocean
-192,64,4,minecraft:lukewarm_ocean
-192,128,4,minecraft:lukewarm_ocean
-192,192,4,minecraft:deep_lukewarm_ocean
-192,256,2,minecraft:deep_lukewarm_ocean
-192,320,2,minecraft:deep_lukewarm_ocean
-192,384,2,minecraft:deep_lukewarm_ocean
-192,448,5,minecraft:deep_lukewarm_ocean
-192,512,5,minecraft:deep_lukewarm_ocean
-192,576,5,minecraft:deep_lukewarm_ocean
-192,640,0,minecraft:savanna
-192,704,0,minecraft:desert
-192,768,0,minecraft:desert
-128,-768,2,minecraft:lukewarm_ocean
-128,-704,2,minecraft:deep_lukewarm_ocean
-128,-640,0,minecraft:badlands
-128,-576,0,minecraft:badlands
-128,-512,0,terralith:hot_shrubland
-128,-448,0,terralith:hot_shrubland
-128,-384,0,terralith:hot_shrubland
-128,-320,0,terralith:hot_shrubland
-128,-256,0,terralith:hot_shrubland
-128,-192,0,terralith:hot_shrubland
-128,-128,4,minecraft:lukewarm_ocean
-128,-64,4,minecraft:lukewarm_ocean
-128,0,4,minecraft:lukewarm_ocean
-128,64,4,minecraft:warm_ocean
-128,128,4,minecraft:lukewarm_ocean
-128,192,4,minecraft:deep_lukewarm_ocean
-128,256,2,minecraft:deep_lukewarm_ocean
-128,320,2,minecraft:deep_lukewarm_ocean
-128,384,2,minecraft:deep_lukewarm_ocean
-128,448,2,minecraft:deep_lukewarm_ocean
-128,512,5,minecraft:deep_lukewarm_ocean
-128,576,0,terralith:ancient_sands
-128,640,0,terralith:steppe
-128,704,0,natures_spirit:wooded_drylands
-128,768,1,minecraft:warm_ocean
-64,-768,2,minecraft:lukewarm_ocean
-64,-704,0,terralith:hot_shrubland
-64,-640,0,terralith:hot_shrubland
-64,-576,0,terralith:hot_shrubland
-64,-512,0,terralith:hot_shrubland
-64,-448,0,minecraft:badlands
-64,-384,0,terralith:hot_shrubland
-64,-320,0,terralith:hot_shrubland
-64,-256,0,terralith:hot_shrubland
-64,-192,0,terralith:ancient_sands
-64,-128,4,minecraft:lukewarm_ocean
-64,-64,4,minecraft:lukewarm_ocean
-64,0,4,minecraft:warm_ocean
-64,64,4,minecraft:warm_ocean
-64,128,2,minecraft:warm_ocean
-64,192,2,minecraft:warm_ocean
-64,256,2,minecraft:warm_ocean
-64,320,2,minecraft:warm_ocean
-64,384,2,minecraft:warm_ocean
-64,448,2,minecraft:warm_ocean
-64,512,2,minecraft:warm_ocean
-64,576,2,minecraft:deep_lukewarm_ocean
-64,640,2,minecraft:warm_ocean
-64,704,1,minecraft:deep_lukewarm_ocean
-64,768,1,minecraft:warm_ocean
0,-768,0,terralith:hot_shrubland
0,-704,0,terralith:hot_shrubland
0,-640,0,terralith:hot_shrubland
0,-576,0,terralith:hot_shrubland
0,-512,0,terralith:hot_shrubland
0,-448,0,minecraft:badlands
0,-384,0,terralith:hot_shrubland
0,-320,0,terralith:hot_shrubland
0,-256,0,minecraft:desert
0,-192,0,minecraft:badlands
0,-128,0,terralith:arid_highlands
0,-64,0,terralith:hot_shrubland
0,0,4,minecraft:warm_ocean
0,64,2,minecraft:warm_ocean
0,128,2,minecraft:warm_ocean
0,192,2,minecraft:warm_ocean
0,256,2,minecraft:warm_ocean
0,320,2,minecraft:warm_ocean
0,384,2,minecraft:warm_ocean
0,448,2,minecraft:warm_ocean
0,512,2,minecraft:warm_ocean
0,576,2,minecraft:warm_ocean
0,640,2,minecraft:warm_ocean
0,704,2,minecraft:warm_ocean
0,768,1,minecraft:warm_ocean
64,-768,0,terralith:hot_shrubland
64,-704,0,terralith:hot_shrubland
64,-640,0,terralith:hot_shrubland
64,-576,0,terralith:hot_shrubland
64,-512,0,terralith:hot_shrubland
64,-448,0,minecraft:badlands
64,-384,0,terralith:hot_shrubland
64,-320,0,terralith:hot_shrubland
64,-256,0,minecraft:savanna
64,-192,0,minecraft:badlands
64,-128,0,natures_spirit:xeric_plains
64,-64,4,minecraft:warm_ocean
64,0,4,minecraft:warm_ocean
64,64,4,minecraft:warm_ocean
64,128,4,minecraft:warm_ocean
64,192,4,minecraft:warm_ocean
64,256,2,minecraft:warm_ocean
64,320,2,minecraft:warm_ocean
64,384,2,minecraft:warm_ocean
64,448,2,minecraft:warm_ocean
64,512,2,minecraft:warm_ocean
64,576,2,minecraft:warm_ocean
64,640,1,minecraft:warm_ocean
64,704,1,minecraft:warm_ocean
64,768,1,minecraft:warm_ocean
128,-768,4,minecraft:lukewarm_ocean
128,-704,4,minecraft:lukewarm_ocean
128,-640,4,minecraft:lukewarm_ocean
128,-576,0,terralith:hot_shrubland
128,-512,0,terralith:hot_shrubland
128,-448,0,minecraft:badlands
128,-384,0,terralith:hot_shrubland
128,-320,0,terralith:hot_shrubland
128,-256,0,minecraft:badlands
128,-192,0,minecraft:badlands
128,-128,0,minecraft:badlands
128,-64,4,minecraft:warm_ocean
128,0,4,minecraft:warm_ocean
128,64,4,minecraft:warm_ocean
128,128,4,minecraft:warm_ocean
128,192,4,minecraft:warm_ocean
128,256,4,minecraft:warm_ocean
128,320,2,minecraft:warm_ocean
128,384,2,minecraft:warm_ocean
128,448,2,minecraft:warm_ocean
128,512,2,minecraft:warm_ocean
128,576,2,minecraft:warm_ocean
128,640,1,minecraft:warm_ocean
128,704,1,minecraft:warm_ocean
128,768,0,terralith:hot_shrubland
192,-768,4,minecraft:lukewarm_ocean
192,-704,4,minecraft:lukewarm_ocean
192,-640,4,minecraft:lukewarm_ocean
192,-576,4,minecraft:warm_ocean
192,-512,0,terralith:hot_shrubland
192,-448,0,minecraft:badlands
192,-384,0,terralith:hot_shrubland
192,-320,0,terralith:hot_shrubland
192,-256,0,minecraft:desert
192,-192,0,minecraft:badlands
192,-128,0,minecraft:badlands
192,-64,0,terralith:hot_shrubland
192,0,4,minecraft:warm_ocean
192,64,4,minecraft:warm_ocean
192,128,4,minecraft:warm_ocean
192,192,4,minecraft:warm_ocean
192,256,4,minecraft:warm_ocean
192,320,4,minecraft:warm_ocean
192,384,1,minecraft:warm_ocean
192,448,2,minecraft:warm_ocean
192,512,1,minecraft:warm_ocean
192,576,1,minecraft:warm_ocean
192,640,1,minecraft:warm_ocean
192,704,0,minecraft:badlands
192,768,0,minecraft:badlands
256,-768,4,minecraft:lukewarm_ocean
256,-704,4,minecraft:lukewarm_ocean
256,-640,4,minecraft:warm_ocean
256,-576,4,minecraft:warm_ocean
256,-512,4,minecraft:warm_ocean
256,-448,0,terralith:hot_shrubland
256,-384,0,terralith:hot_shrubland
256,-320,0,terralith:hot_shrubland
256,-256,0,terralith:hot_shrubland
256,-192,0,minecraft:badlands
256,-128,0,minecraft:badlands
256,-64,0,terralith:hot_shrubland
256,0,4,minecraft:warm_ocean
256,64,4,minecraft:warm_ocean
256,128,4,minecraft:warm_ocean
256,192,4,minecraft:warm_ocean
256,256,4,minecraft:warm_ocean
256,320,1,minecraft:warm_ocean
256,384,1,minecraft:warm_ocean
256,448,1,minecraft:warm_ocean
256,512,1,minecraft:warm_ocean
256,576,0,minecraft:badlands
256,640,0,minecraft:badlands
256,704,0,minecraft:badlands
256,768,0,minecraft:badlands
320,-768,4,minecraft:warm_ocean
320,-704,4,minecraft:warm_ocean
320,-640,4,minecraft:warm_ocean
320,-576,4,minecraft:warm_ocean
320,-512,4,minecraft:warm_ocean
320,-448,4,minecraft:warm_ocean
320,-384,4,minecraft:warm_ocean
320,-320,4,minecraft:warm_ocean
320,-256,4,minecraft:warm_ocean
320,-192,0,minecraft:desert
320,-128,4,minecraft:stony_shore
320,-64,4,minecraft:stony_shore
320,0,4,minecraft:warm_ocean
320,64,4,minecraft:warm_ocean
320,128,4,minecraft:warm_ocean
320,192,4,minecraft:warm_ocean
320,256,4,minecraft:warm_ocean
320,320,4,minecraft:warm_ocean
320,384,1,minecraft:warm_ocean
320,448,1,minecraft:warm_ocean
320,512,1,minecraft:warm_ocean
320,576,1,minecraft:warm_ocean
320,640,1,minecraft:warm_ocean
320,704,0,minecraft:badlands
320,768,0,minecraft:badlands
384,-768,4,minecraft:warm_ocean
384,-704,4,minecraft:warm_ocean
384,-640,4,minecraft:warm_ocean
384,-576,4,minecraft:warm_ocean
384,-512,4,minecraft:warm_ocean
384,-448,4,minecraft:warm_ocean
384,-384,4,minecraft:warm_ocean
384,-320,4,minecraft:warm_ocean
384,-256,4,minecraft:warm_ocean
384,-192,4,minecraft:warm_ocean
384,-128,4,minecraft:warm_ocean
384,-64,4,minecraft:warm_ocean
384,0,1,minecraft:warm_ocean
384,64,1,minecraft:warm_ocean
384,128,1,minecraft:warm_ocean
384,192,1,minecraft:warm_ocean
384,256,4,minecraft:warm_ocean
384,320,4,minecraft:warm_ocean
384,384,1,minecraft:warm_ocean
384,448,1,minecraft:warm_ocean
384,512,1,minecraft:warm_ocean
384,576,1,minecraft:warm_ocean
384,640,1,minecraft:warm_ocean
384,704,0,terralith:hot_shrubland
384,768,0,terralith:hot_shrubland
448,-768,0,terralith:hot_shrubland
448,-704,4,minecraft:warm_ocean
448,-640,4,minecraft:warm_ocean
448,-576,4,minecraft:warm_ocean
448,-512,4,minecraft:warm_ocean
448,-448,4,minecraft:warm_ocean
448,-384,4,minecraft:warm_ocean
448,-320,4,minecraft:warm_ocean
448,-256,4,minecraft:warm_ocean
448,-192,4,minecraft:warm_ocean
448,-128,4,minecraft:warm_ocean
448,-64,4,minecraft:warm_ocean
448,0,1,minecraft:warm_ocean
448,64,1,minecraft:warm_ocean
448,128,1,minecraft:warm_ocean
448,192,1,minecraft:warm_ocean
448,256,1,minecraft:warm_ocean
448,320,1,minecraft:warm_ocean
448,384,1,minecraft:warm_ocean
448,448,1,minecraft:warm_ocean
448,512,1,minecraft:warm_ocean
448,576,1,minecraft:warm_ocean
448,640,1,minecraft:warm_ocean
448,704,0,minecraft:savanna
448,768,0,minecraft:badlands
512,-768,0,terralith:hot_shrubland
512,-704,0,terralith:hot_shrubland
512,-640,4,minecraft:warm_ocean
512,-576,4,minecraft:warm_ocean
512,-512,4,minecraft:warm_ocean
512,-448,4,minecraft:warm_ocean
512,-384,4,minecraft:warm_ocean
512,-320,4,minecraft:warm_ocean
512,-256,4,minecraft:warm_ocean
512,-192,4,minecraft:warm_ocean
512,-128,4,minecraft:warm_ocean
512,-64,1,minecraft:warm_ocean
512,0,1,minecraft:warm_ocean
512,64,1,minecraft:warm_ocean
512,128,1,minecraft:warm_ocean
512,192,1,minecraft:warm_ocean
512,256,1,minecraft:warm_ocean
512,320,1,minecraft:warm_ocean
512,384,1,minecraft:warm_ocean
512,448,1,minecraft:warm_ocean
512,512,1,minecraft:warm_ocean
512,576,1,minecraft:warm_ocean
512,640,1,minecraft:warm_ocean
512,704,0,minecraft:badlands
512,768,0,minecraft:badlands
576,-768,0,minecraft:savanna
576,-704,0,minecraft:desert
576,-640,0,minecraft:savanna
576,-576,4,minecraft:warm_ocean
576,-512,2,minecraft:warm_ocean
576,-448,4,minecraft:warm_ocean
576,-384,2,minecraft:warm_ocean
576,-320,4,minecraft:warm_ocean
576,-256,4,minecraft:warm_ocean
576,-192,4,minecraft:warm_ocean
576,-128,4,minecraft:warm_ocean
576,-64,5,minecraft:warm_ocean
576,0,1,minecraft:warm_ocean
576,64,5,minecraft:warm_ocean
576,128,1,minecraft:warm_ocean
576,192,5,minecraft:warm_ocean
576,256,5,minecraft:warm_ocean
576,320,1,minecraft:warm_ocean
576,384,1,minecraft:warm_ocean
576,448,1,minecraft:warm_ocean
576,512,1,minecraft:warm_ocean
576,576,1,minecraft:warm_ocean
576,640,1,minecraft:warm_ocean
576,704,0,minecraft:badlands
576,768,0,minecraft:badlands
640,-768,0,minecraft:badlands
640,-704,0,minecraft:badlands
640,-640,0,minecraft:badlands
640,-576,2,minecraft:warm_ocean
640,-512,2,minecraft:warm_ocean
640,-448,2,minecraft:warm_ocean
640,-384,2,minecraft:warm_ocean
640,-320,2,minecraft:warm_ocean
640,-256,4,minecraft:warm_ocean
640,-192,5,minecraft:warm_ocean
640,-128,5,minecraft:warm_ocean
640,-64,5,minecraft:warm_ocean
640,0,5,minecraft:warm_ocean
640,64,5,minecraft:warm_ocean
640,128,5,minecraft:warm_ocean
640,192,5,minecraft:warm_ocean
640,256,5,minecraft:warm_ocean
640,320,5,minecraft:warm_ocean
640,384,1,minecraft:warm_ocean
640,448,1,minecraft:warm_ocean
640,512,1,minecraft:warm_ocean
640,576,1,minecraft:warm_ocean
640,640,1,minecraft:warm_ocean
640,704,1,minecraft:warm_ocean
640,768,0,terralith:hot_shrubland
704,-768,0,minecraft:badlands
704,-704,0,minecraft:badlands
704,-640,0,minecraft:badlands
704,-576,2,minecraft:warm_ocean
704,-512,2,minecraft:stony_shore
704,-448,2,minecraft:warm_ocean
704,-384,2,minecraft:warm_ocean
704,-320,2,minecraft:warm_ocean
704,-256,4,minecraft:warm_ocean
704,-192,2,minecraft:warm_ocean
704,-128,2,minecraft:warm_ocean
704,-64,5,minecraft:warm_ocean
704,0,5,minecraft:warm_ocean
704,64,5,minecraft:warm_ocean
704,128,5,minecraft:warm_ocean
704,192,5,minecraft:warm_ocean
704,256,5,minecraft:warm_ocean
704,320,5,minecraft:warm_ocean
704,384,1,minecraft:warm_ocean
704,448,1,minecraft:warm_ocean
704,512,1,minecraft:warm_ocean
704,576,1,minecraft:warm_ocean
704,640,1,minecraft:warm_ocean
704,704,0,minecraft:desert
704,768,0,terralith:hot_shrubland
768,-768,0,minecraft:badlands
768,-704,2,minecraft:warm_ocean
768,-640,2,minecraft:warm_ocean
768,-576,2,minecraft:warm_ocean
768,-512,2,minecraft:warm_ocean
768,-448,2,minecraft:warm_ocean
768,-384,2,minecraft:warm_ocean
768,-320,2,minecraft:warm_ocean
768,-256,2,minecraft:warm_ocean
768,-192,2,minecraft:warm_ocean
768,-128,2,minecraft:warm_ocean
768,-64,5,minecraft:warm_ocean
768,0,5,minecraft:warm_ocean
768,64,5,minecraft:warm_ocean
768,128,5,minecraft:warm_ocean
768,192,5,minecraft:warm_ocean
768,256,5,minecraft:warm_ocean
768,320,1,minecraft:warm_ocean
768,384,1,minecraft:warm_ocean
768,448,1,minecraft:warm_ocean
768,512,1,minecraft:warm_ocean
768,576,1,minecraft:warm_ocean
768,640,1,minecraft:warm_ocean
768,704,1,minecraft:warm_ocean
768,768,0,terralith:hot_shrubland
